Marker,CellType
AGR3,Ciliated
AHSA1,Ciliated
AKAP14,Ciliated
ALDH3A1,Ciliated
ALDH3B1,Ciliated
ANKRD66,Ciliated
ARL3,Ciliated
ARMC4,Ciliated
B3GNT7,Ciliated
B9D1,Ciliated
BASP1,Ciliated
C11orf88,Ciliated
C11orf97,Ciliated
C12orf75,Ciliated
C17orf97,Ciliated
C1orf194,Ciliated
C20orf85,Ciliated
C2orf40,Ciliated
C4orf3,Ciliated
C5orf49,Ciliated
ACKR3,Basal
AQP3,Basal
ATP1B3,Basal
CAPG,Basal
CLCA2,Basal
CLDN1,Basal
COL17A1,Basal
CSTA,Basal
DSG3,Basal
DUSP7,Basal
FABP5,Basal
FBLN1,Basal
FGFBP1,Basal
GPNMB,Basal
IGFBP6,Basal
IL1RN,Basal
KRT14,Basal
KRT15,Basal
KRT16,Basal
KRT17,Basal
ACSL1,Ionocytes
AKR1B1,Ionocytes
APLP2,Ionocytes
ARL6IP5,Ionocytes
ASCL3,Ionocytes
ATP1A1,Ionocytes
ATP6V0A4,Ionocytes
ATP6V0B,Ionocytes
ATP6V1A,Ionocytes
ATP6V1C2,Ionocytes
ATP7A,Ionocytes
BCL2,Ionocytes
BSND,Ionocytes
CA12,Ionocytes
CD9,Ionocytes
CDA,Ionocytes
CELF2,Ionocytes
CFTR,Ionocytes
CLCNKB,Ionocytes
CNN3,Ionocytes
AMOTL2,Secretory
C3,Secretory
CAPN13,Secretory
CD74,Secretory
CEACAM6,Secretory
CP,Secretory
CTSC,Secretory
CXCL1,Secretory
CXCL2,Secretory
CXCL8,Secretory
GABRP,Secretory
HLA-DRA,Secretory
IFITM1,Secretory
IFITM3,Secretory
LYPD2,Secretory
MSMB,Secretory
MUC5B,Secretory
PI3,Secretory
PIGR,Secretory
PRSS23,Secretory
