sample,condition,gene,normalized_counts
ana1,ana,S100A9,5863.09824629417
ana1,ana,HSPA6,13.5832161919772
ana1,ana,HSD11B1,31.0473512959479
ana1,ana,RHOB,171.730661855712
ana1,ana,CYP1B1,19.4045945599675
ana1,ana,IL1RL1,92.1718241598454
ana1,ana,OSBPL6,47.5412566719203
ana1,ana,MAP2,593.780593535004
ana1,ana,PID1,253.229959007575
ana1,ana,CP,521.983593663125
ana1,ana,CLGN,51.4221755839138
ana1,ana,SFRP2,14.5534459199756
ana1,ana,IRF1,162.028364575728
ana1,ana,PCDHGA10,53.3626350399105
ana1,ana,BMP6,51.4221755839138
ana1,ana,HIST1H1C,42.6901080319284
ana1,ana,GSTA1,6.79160809598861
ana1,ana,AL355312.4,10.6725270079821
ana1,ana,PCLO,327.93764806345
ana1,ana,NRCAM,48.5114863999186
ana1,ana,ZBED6CL,5.82137836799024
ana1,ana,HR,268.753634655549
ana1,ana,PTPRD,65.005391775891
ana1,ana,C9orf24,3.88091891199349
ana1,ana,IER5L,93.1420538878438
ana1,ana,AKR1C1,1508.70722703747
ana1,ana,MSMB,914.926633502466
ana1,ana,CDKN1C,101.874121439829
ana1,ana,C11orf68,30.0771215679496
ana1,ana,MMP1,321.146039967461
ana1,ana,COLCA1,16.4939053759723
ana1,ana,KCNJ5,18.4343648319691
ana1,ana,EMP1,1908.4418749728
ana1,ana,ALDH1L2,38.8091891199349
ana1,ana,HCAR3,15.523675647974
ana1,ana,CLDN10,3.88091891199349
ana1,ana,AL357093.2,2.91068918399512
ana1,ana,BMF,17.4641351039707
ana1,ana,C2CD4A,19.4045945599675
ana1,ana,C2CD4B,26.1962026559561
ana1,ana,CEMIP,222.182607711627
ana1,ana,ADAMTSL3,42.6901080319284
ana1,ana,HSD17B2,11.6427567359805
ana1,ana,NGFR,435.633147871269
ana1,ana,DSC3,1512.58814594946
ana1,ana,DSG3,1880.30521286085
ana1,ana,CAPS,27.1664323839544
ana1,ana,KLF2,27.1664323839544
ana1,ana,CXCL17,351.223161535411
ana1,ana,MMP9,459.888891071229
ana1,ana,CYP24A1,18.4343648319691
ana2,ana,S100A9,4452.99794949302
ana2,ana,HSPA6,19.921306616153
ana2,ana,HSD11B1,26.9523560100894
ana2,ana,RHOB,154.6830866666
ana2,ana,CYP1B1,35.1552469696818
ana2,ana,IL1RL1,37.4989301009939
ana2,ana,OSBPL6,56.2483951514908
ana2,ana,MAP2,596.467356918934
ana2,ana,PID1,127.73073065651
ana2,ana,CP,691.386523737075
ana2,ana,CLGN,48.0455041918984
ana2,ana,SFRP2,15.2339403535288
ana2,ana,IRF1,174.604393282753
ana2,ana,PCDHGA10,62.1076029797711
ana2,ana,BMP6,31.6397222727136
ana2,ana,HIST1H1C,62.1076029797711
ana2,ana,GSTA1,15.2339403535288
ana2,ana,AL355312.4,11.7184156565606
ana2,ana,PCLO,374.989301009939
ana2,ana,NRCAM,55.0765535858348
ana2,ana,ZBED6CL,9.37473252524847
ana2,ana,HR,205.07227398981
ana2,ana,PTPRD,60.9357614141151
ana2,ana,C9orf24,3.51552469696818
ana2,ana,IER5L,82.0289095959241
ana2,ana,AKR1C1,1633.54714252455
ana2,ana,MSMB,744.119394191598
ana2,ana,CDKN1C,60.9357614141151
ana2,ana,C11orf68,26.9523560100894
ana2,ana,MMP1,782.790165858248
ana2,ana,COLCA1,22.2649897474651
ana2,ana,KCNJ5,24.6086728787772
ana2,ana,EMP1,1319.49360292872
ana2,ana,ALDH1L2,66.7949692423954
ana2,ana,HCAR3,37.4989301009939
ana2,ana,CLDN10,11.7184156565606
ana2,ana,AL357093.2,3.51552469696818
ana2,ana,BMF,19.921306616153
ana2,ana,C2CD4A,11.7184156565606
ana2,ana,C2CD4B,11.7184156565606
