sample,condition,gene,normalized_counts
ana1,ana,C1orf158,11.8845223231993
ana1,ana,RCAN3AS,7.92301488213283
ana1,ana,ZSCAN20,14.5255272839102
ana1,ana,POU3F1,2.64100496071094
ana1,ana,FAM183A,487.265415251169
ana1,ana,TCTEX1D4,91.1146711445276
ana1,ana,AL358075.2,5.28200992142189
ana1,ana,C1orf87,30.3715570481759
ana1,ana,TCTEX1D1,92.4351736248831
ana1,ana,C1orf141,34.3330644892423
ana1,ana,C1orf194,760.609428684752
ana1,ana,PIFO,554.611041749298
ana1,ana,TSPAN2,17.1665322446211
ana1,ana,LINC01765,19.8075372053321
ana1,ana,RIIAD1,126.768238114125
ana1,ana,C1orf189,33.0125620088868
ana1,ana,AL451085.1,10.5640198428438
ana1,ana,PPOX,35.6535669695978
ana1,ana,CFAP126,199.395874533676
ana1,ana,HSPA6,336.728132490645
ana1,ana,ANKRD45,25.089547126754
ana1,ana,APOBEC4,10.5640198428438
ana1,ana,NIBAN1,558.572549190365
ana1,ana,LINC00467,44.8970843320861
ana1,ana,NEK2,1.32050248035547
ana1,ana,AC096637.2,13.2050248035547
ana1,ana,SPATA17,108.281203389149
ana1,ana,CNIH3,11.8845223231993
ana1,ana,ACBD3-AS1,88.4736661838166
ana1,ana,PTRHD1,95.076178585594
ana1,ana,FAM166C,7.92301488213283
ana1,ana,CCDC121,29.0510545678204
ana1,ana,CYP1B1,14.5255272839102
ana1,ana,C2orf73,60.7431140963517
ana1,ana,WDR54,213.921401817587
ana1,ana,DNAH6,126.768238114125
ana1,ana,TEKT4,30.3715570481759
ana1,ana,ECRG4,124.127233153414
ana1,ana,NPHP1,192.793362131899
ana1,ana,AC104653.1,6.60251240177736
ana1,ana,NEB,19.8075372053321
ana1,ana,AC013264.1,149.216780280168
ana1,ana,AC006994.2,13.2050248035547
ana1,ana,CATIP,34.3330644892423
ana1,ana,LINC02832,9.24351736248831
ana1,ana,HDAC4-AS1,13.2050248035547
ana1,ana,SRGAP3-AS2,52.8200992142189
ana1,ana,NDUFAF3,208.639391896165
ana1,ana,DNAH12,213.921401817587
ana1,ana,SNTN,311.638585363891
ana1,ana,AC079848.2,2.64100496071094
ana1,ana,CFAP100,36.9740694499532
ana1,ana,DZIP1L,63.3841190570627
ana1,ana,ERICH6-AS1,21.1280396856876
ana1,ana,WDR49,64.7046215374181
ana1,ana,LRRC34,66.0251240177736
ana1,ana,LINC01014,18.4870347249766
ana1,ana,HES1,285.228535756782
ana1,ana,LINC02265,11.8845223231993
ana1,ana,CFAP299,42.2560793713751
ana1,ana,AC098487.1,7.92301488213283
ana1,ana,NUDT6,6.60251240177736
ana1,ana,LINC01091,2.64100496071094
ana1,ana,PLK4,1.32050248035547
ana1,ana,SPATA4,26.4100496071094
ana1,ana,TRIP13,33.0125620088868
ana1,ana,CAPSL,270.703008472872
ana1,ana,CDC20B,7.92301488213283
ana1,ana,PART1,9.24351736248831
ana1,ana,CENPK,9.24351736248831
ana1,ana,FAM169A,52.8200992142189
ana1,ana,ZNF474,35.6535669695978
ana1,ana,AC010255.3,6.60251240177736
ana1,ana,NME5,150.537282760524
ana1,ana,C6orf52,38.2945719303087
ana1,ana,AL022068.1,30.3715570481759
ana1,ana,LINC00240,39.6150744106642
ana1,ana,ZSCAN16-AS1,34.3330644892423
ana1,ana,HCG14,1.32050248035547
ana1,ana,HSPA1A,1921.33110891721
ana1,ana,C6orf226,31.6920595285313
ana1,ana,RSPH9,212.600899337231
ana1,ana,SPATS1,15.8460297642657
ana1,ana,GSTA1,680.058777383068
ana1,ana,IRAK1BP1,27.7305520874649
ana1,ana,BACH2,43.5765818517306
ana1,ana,FAM229B,364.45868457811
ana1,ana,LINC00326,3.96150744106642
ana1,ana,ADGB,36.9740694499532
ana1,ana,AL355312.4,1.32050248035547
ana1,ana,DYNLT1,1253.15685385734
ana1,ana,AC013470.2,11.8845223231993
ana1,ana,PCLO,240.331451424696
ana1,ana,AC002451.1,1.32050248035547
ana1,ana,AC105446.1,13.2050248035547
ana1,ana,EFCAB10,109.601705869504
ana1,ana,IQUB,92.4351736248831
ana1,ana,AC006333.2,18.4870347249766
ana1,ana,PIP,101.678690987371
ana1,ana,RARRES2,64.7046215374181
ana1,ana,PPP1R42,50.1790942535079
ana1,ana,AP001207.3,9.24351736248831
ana1,ana,BAALC,21.1280396856876
ana1,ana,C9orf24,697.225309627689
ana1,ana,FAM166B,38.2945719303087
ana1,ana,SPAG8,27.7305520874649
ana1,ana,AL353770.4,10.5640198428438
ana1,ana,C9orf135,340.689639931712
ana1,ana,PSAT1,611.392648404584
ana1,ana,MORN5,249.574968787184
ana1,ana,SPACA9,93.7556761052385
ana1,ana,C9orf116,472.739887967259
ana1,ana,SFTA1P,47.538089292797
ana1,ana,VIM-AS1,6.60251240177736
ana1,ana,SLC16A9,198.075372053321
ana1,ana,MRLN,15.8460297642657
ana1,ana,ANK3-DT,3.96150744106642
ana1,ana,CDK1,2.64100496071094
ana1,ana,CABCOCO1,79.2301488213283
ana1,ana,DYDC2,129.409243074836
ana1,ana,ANKRD22,87.1531637034612
ana1,ana,INA,176.947332367633
ana1,ana,CASC2,26.4100496071094
ana1,ana,CDKN1C,92.4351736248831
ana1,ana,C11orf16,13.2050248035547
ana1,ana,C11orf74,138.652760437325
ana1,ana,MAJIN,5.28200992142189
ana1,ana,CNIH2,10.5640198428438
ana1,ana,KLHL35,17.1665322446211
ana1,ana,CCDC81,5.28200992142189
ana1,ana,DEUP1,10.5640198428438
ana1,ana,C11orf97,147.896277799813
ana1,ana,CFAP300,184.870347249766
ana1,ana,AP003307.1,3.96150744106642
ana1,ana,AP002008.4,6.60251240177736
ana1,ana,C11orf88,236.36994398363
ana1,ana,PIH1D2,56.7816066552853
ana1,ana,CCDC153,176.947332367633
ana1,ana,SPA17,367.099689538821
ana1,ana,TP53AIP1,9.24351736248831
ana1,ana,MIR200CHG,38.2945719303087
ana1,ana,ST8SIA1,7.92301488213283
ana1,ana,AC023157.3,27.7305520874649
ana1,ana,PRICKLE1,40.9355768910196
ana1,ana,AC008035.1,3.96150744106642
ana1,ana,CCDC65,69.98663145884
ana1,ana,GIHCG,69.98663145884
ana1,ana,TSPAN19,106.960700908793
ana1,ana,CFAP73,120.165725712348
ana1,ana,TEX26,59.4226116159963
ana1,ana,KCNRG,13.2050248035547
ana1,ana,LMO7-AS1,5.28200992142189
ana1,ana,AL096870.8,2.64100496071094
ana1,ana,LINC02300,13.2050248035547
ana1,ana,AL136038.5,14.5255272839102
ana1,ana,PPP1R36,10.5640198428438
ana1,ana,ACYP1,105.640198428438
ana1,ana,FOS,287.869540717493
ana1,ana,AL357093.2,330.125620088868
ana1,ana,CRIP1,987.735855305893
ana1,ana,LINC02345,19.8075372053321
ana1,ana,DNAAF4,192.793362131899
ana1,ana,MNS1,188.831854690833
ana1,ana,AC027237.3,14.5255272839102
ana1,ana,AC023300.2,29.0510545678204
ana1,ana,CFAP161,17.1665322446211
ana1,ana,WDR93,17.1665322446211
ana1,ana,NHLRC4,15.8460297642657
ana1,ana,AC108134.4,44.8970843320861
ana1,ana,SMIM22,561.213554151076
ana1,ana,AC099518.4,10.5640198428438
ana1,ana,LINC01571,13.2050248035547
ana1,ana,AC007906.2,245.613461346118
ana1,ana,DYNLRB2,250.89547126754
ana1,ana,PLCG2,1476.32177303742
ana1,ana,FAM92B,229.767431581852
ana1,ana,LINC02166,42.2560793713751
ana1,ana,TEKT1,143.934770358747
ana1,ana,LRRC75A,27.7305520874649
ana1,ana,DRC3,62.0636165767072
ana1,ana,B9D1,72.627636419551
ana1,ana,AC087393.2,18.4870347249766
ana1,ana,LYRM9,15.8460297642657
ana1,ana,OMG,184.870347249766
ana1,ana,CCL15,68.6661289784846
ana1,ana,CAVIN1,120.165725712348
ana1,ana,NGFR,138.652760437325
ana1,ana,AC015813.8,3.96150744106642
ana1,ana,LPO,11.8845223231993
ana1,ana,SMIM5,23.7690446463985
ana1,ana,MTCL1,48.8585917731525
ana1,ana,DSC3,75.2686413802619
ana1,ana,DSG3,56.7816066552853
ana1,ana,PARD6G-AS1,39.6150744106642
ana1,ana,AC005523.1,1.32050248035547
ana1,ana,PEX11G,5.28200992142189
ana1,ana,FBXW9,66.0251240177736
ana1,ana,MISP3,44.8970843320861
ana1,ana,CRLF1,7.92301488213283
ana1,ana,IL4I1,21.1280396856876
ana1,ana,AC010624.1,1.32050248035547
ana1,ana,AC010624.5,1.32050248035547
ana1,ana,TMEM238,10.5640198428438
ana1,ana,AL121899.1,30.3715570481759
ana1,ana,SPEF1,55.4611041749298
ana1,ana,RALY-AS1,5.28200992142189
ana1,ana,WFDC6,2.64100496071094
ana1,ana,EPPIN,10.5640198428438
ana1,ana,C20orf85,838.519075025725
ana1,ana,LKAAEAR1,14.5255272839102
ana1,ana,FAM3B,3.96150744106642
ana1,ana,UMODL1-AS1,2.64100496071094
ana1,ana,RSPH14,14.5255272839102
ana1,ana,Z95115.1,7.92301488213283
ana1,ana,AC004832.1,17.1665322446211
ana1,ana,RIBC2,52.8200992142189
ana1,ana,LINC01589,10.5640198428438
ana1,ana,SYCE3,1.32050248035547
ana1,ana,FAM104B,72.627636419551
ana1,ana,SLC16A2,85.8326612231057
ana1,ana,PIH1D3,51.4995967338634
ana1,ana,AKAP14,154.49879020159
ana1,ana,AC244090.1,83.1916562623948
ana2,ana,C1orf158,15.8991664463483
ana2,ana,RCAN3AS,7.48196068063451
ana2,ana,ZSCAN20,19.6401467866656
ana2,ana,POU3F1,5.61147051047588
ana2,ana,FAM183A,386.256220137757
ana2,ana,TCTEX1D4,101.006469188566
ana2,ana,AL358075.2,5.61147051047588
ana2,ana,C1orf87,19.6401467866656
ana2,ana,TCTEX1D1,68.2728912107899
ana2,ana,C1orf141,31.7983328926967
ana2,ana,C1orf194,682.728912107899
ana2,ana,PIFO,575.175727323778
ana2,ana,TSPAN2,9.35245085079314
ana2,ana,LINC01765,14.963921361269
ana2,ana,RIIAD1,84.1720576571382
ana2,ana,C1orf189,31.7983328926967
ana2,ana,AL451085.1,13.0934311911104
ana2,ana,PPOX,49.5679895092036
ana2,ana,CFAP126,166.473625144118
ana2,ana,HSPA6,346.975926564425
ana2,ana,ANKRD45,35.5393132330139
