sample,condition,gene,normalized_counts
ana1,ana,HES5,4.92318349512408
ana1,ana,POU3F1,2.46159174756204
ana1,ana,EDN2,4.1026529126034
ana1,ana,FAM183A,3.28212233008272
ana1,ana,PIFO,7.38477524268612
ana1,ana,AL451085.1,0
ana1,ana,HSPA6,82.053058252068
ana1,ana,FMO2,1.64106116504136
ana1,ana,LEMD1,4.1026529126034
ana1,ana,EHD3,41.8470597085547
ana1,ana,CYP1B1,18.8722033979756
ana1,ana,DUSP2,68.1040383492164
ana1,ana,AC013264.1,0
ana1,ana,HES1,320.006927183065
ana1,ana,ADH1C,18.051672815455
ana1,ana,PCDH10,1.64106116504136
ana1,ana,C5orf49,11.4874281552895
ana1,ana,CDC20B,1.64106116504136
ana1,ana,FAM169A,50.8728961162821
ana1,ana,LTC4S,9.84636699024816
ana1,ana,HSPA1A,1240.64224077127
ana1,ana,HSPA1B,670.373485919395
ana1,ana,GSTA1,93.5404864073575
ana1,ana,AL355312.4,8.2053058252068
ana1,ana,PIP,160.823994174053
ana1,ana,NEFM,22.1543257280584
ana1,ana,EFCAB1,2.46159174756204
ana1,ana,ARC,5.74371407764476
ana1,ana,C9orf24,9.84636699024816
ana1,ana,GADD45G,28.7185703882238
ana1,ana,PALM2-AKAP2,205.13264563017
ana1,ana,IER5L,144.41338252364
ana1,ana,MSMB,4467.7890218251
ana1,ana,DYDC2,0
ana1,ana,INA,209.235298542773
ana1,ana,FUOM,13.9490199028516
ana1,ana,PGGHG,13.1284893203309
ana1,ana,CDKN1C,143.592851941119
ana1,ana,LINC02709,1.64106116504136
ana1,ana,MMP7,13.1284893203309
ana1,ana,MIR200CHG,21.3337951455377
ana1,ana,ERP27,0.82053058252068
ana1,ana,AC023157.3,24.6159174756204
ana1,ana,NR4A1,68.1040383492164
ana1,ana,PCDH9,3.28212233008272
ana1,ana,LINC02300,7.38477524268612
ana1,ana,FOS,401.239454852612
ana1,ana,AL357093.2,4.92318349512408
ana1,ana,CYP1A1,0
ana1,ana,MSLN,9.84636699024816
ana1,ana,CRYM,10.6668975727688
ana1,ana,CHP2,22.974856310579
ana1,ana,HSD17B2,23.7953868930997
ana1,ana,ZFPM1,76.3093441744232
ana1,ana,LINC00324,31.1801621357858
ana1,ana,RASD1,30.3596315532651
ana1,ana,OMG,0.82053058252068
ana1,ana,KRTAP3-1,0
ana1,ana,NGFR,214.158482037897
ana1,ana,LINC01970,7.38477524268612
ana1,ana,DSC3,189.542564562277
ana1,ana,DSG3,67.2835077666957
ana1,ana,GADD45B,673.655608249478
ana1,ana,CDC42EP5,474.266676696953
ana1,ana,TMEM190,6.56424466016544
ana1,ana,TMEM238,9.02583640772748
ana1,ana,AC012313.1,17.2311422329343
ana1,ana,PLCB1,53.3344878638442
ana1,ana,BPIFA2,84.51464999963
ana1,ana,TIAM1,173.952483494384
ana2,ana,HES5,1.15262413366707
ana2,ana,POU3F1,5.76312066833536
ana2,ana,EDN2,13.8314896040049
ana2,ana,FAM183A,1.15262413366707
ana2,ana,PIFO,2.30524826733414
ana2,ana,AL451085.1,1.15262413366707
ana2,ana,HSPA6,165.977875248058
ana2,ana,FMO2,0
ana2,ana,LEMD1,9.22099306933657
ana2,ana,EHD3,51.8680860150182
ana2,ana,CYP1B1,36.8839722773463
