gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,seq_name,gene_biotype,description
HSPA1B,1176.57706968221,1.55965035953066,0.177919885667798,1.19198335832667e-19,9.05966951496184e-16,ENSG00000204388,6,protein_coding,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
HSPA1B,1176.57706968221,1.55965035953066,0.177919885667798,1.19198335832667e-19,9.05966951496184e-16,ENSG00000232804,CHR_HSCHR6_MHC_APD_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
HSPA1B,1176.57706968221,1.55965035953066,0.177919885667798,1.19198335832667e-19,9.05966951496184e-16,ENSG00000224501,CHR_HSCHR6_MHC_COX_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
HSPA1B,1176.57706968221,1.55965035953066,0.177919885667798,1.19198335832667e-19,9.05966951496184e-16,ENSG00000231555,CHR_HSCHR6_MHC_DBB_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
HSPA1B,1176.57706968221,1.55965035953066,0.177919885667798,1.19198335832667e-19,9.05966951496184e-16,ENSG00000212866,CHR_HSCHR6_MHC_QBL_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
PIP,258.244085950267,1.84437161347547,0.208843753610959,8.53261424730123e-20,9.05966951496184e-16,ENSG00000159763,7,protein_coding,prolactin induced protein [Source:HGNC Symbol;Acc:HGNC:8993]
CYP1B1,140.347667469252,2.66519958685216,0.329790184753408,6.08329408403316e-17,3.0824051123796e-13,ENSG00000138061,2,protein_coding,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]
HSPA1A,2429.28803017839,1.76316099381098,0.238469395599742,1.03226824633145e-14,3.9228774031211e-11,ENSG00000204389,6,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
HSPA1A,2429.28803017839,1.76316099381098,0.238469395599742,1.03226824633145e-14,3.9228774031211e-11,ENSG00000235941,CHR_HSCHR6_MHC_APD_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
HSPA1A,2429.28803017839,1.76316099381098,0.238469395599742,1.03226824633145e-14,3.9228774031211e-11,ENSG00000237724,CHR_HSCHR6_MHC_COX_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
HSPA1A,2429.28803017839,1.76316099381098,0.238469395599742,1.03226824633145e-14,3.9228774031211e-11,ENSG00000234475,CHR_HSCHR6_MHC_DBB_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
HSPA1A,2429.28803017839,1.76316099381098,0.238469395599742,1.03226824633145e-14,3.9228774031211e-11,ENSG00000215328,CHR_HSCHR6_MHC_QBL_CTG1,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
FMO2,12.4681592680787,3.53249309383584,0.562038246622714,3.46070059413606e-11,1.05212219462924e-07,ENSG00000094963,1,protein_coding,flavin containing dimethylaniline monoxygenase 2 [Source:HGNC Symbol;Acc:HGNC:3770]
HES1,534.614339215982,1.24162687028059,0.204784907391776,8.79386500559499e-11,2.22792569916749e-07,ENSG00000114315,3,protein_coding,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
HSD17B2,69.8781024868241,1.60453602514406,0.26835217496792,1.33453152108052e-10,2.89803052170642e-07,ENSG00000086696,16,protein_coding,hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]
GADD45B,793.895280398055,1.34174027398964,0.227751380197074,2.38950535581322e-10,4.54035886421459e-07,ENSG00000099860,19,protein_coding,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
GSTA1,185.210876016623,1.61534108626014,0.283822405061916,8.43510466045164e-10,1.42468917715028e-06,ENSG00000243955,6,protein_coding,glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]
EDN2,19.1503278342878,2.46157661018052,0.440314636967388,1.31888432747074e-09,2.00483606618826e-06,ENSG00000127129,1,protein_coding,endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]
IER5L,258.931452025821,1.2879724615151,0.252554178369148,2.18528963220013e-08,2.97288351425242e-05,ENSG00000188483,9,protein_coding,immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]
NGFR,112.192209797635,-1.49204901921174,0.302911395272844,2.34685890211361e-08,2.97288351425242e-05,ENSG00000064300,17,protein_coding,nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]
TIAM1,115.880920275724,-1.09048348926205,0.227848213077848,7.38730342646744e-08,8.63803072197935e-05,ENSG00000156299,21,protein_coding,T cell lymphoma invasion and metastasis 1 [Source:HGNC Symbol;Acc:HGNC:11805]
PALM2-AKAP2,121.349214126591,-1.36846377800257,0.293695213178347,1.14292967140016e-07,0.000110542704049673,ENSG00000157654,9,protein_coding,PALM2-AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]
GADD45G,66.1044669856314,1.67901099105148,0.358472766120769,1.38795737183623e-07,0.000124107882407544,ENSG00000130222,9,protein_coding,growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]
HSPA6,271.060277828254,2.94713727994753,0.622526920336555,1.7525798628069e-07,0.000148005369414043,ENSG00000173110,1,protein_coding,heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]
POU3F1,15.8184801720329,2.93697782512608,0.675185412263659,5.99786904875054e-07,0.000434160035285985,ENSG00000185668,1,protein_coding,POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]
