gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,seq_name,gene_biotype,description
LINC01409,0.43265768014046,3.56205152657982e-07,0.00144269479164551,0.477283154009619,0.997764501767861,ENSG00000237491,1,lncRNA,long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]
LINC01128,0.585527330904027,1.05978407990543e-07,0.0014426946628206,0.781692461652334,0.997764501767861,ENSG00000228794,1,lncRNA,long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]
FAM41C,0.403974262410044,-2.92091931482558e-07,0.00144269493703091,0.666433409913866,0.997764501767861,ENSG00000230368,1,lncRNA,family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]
SAMD11,0.347819100792387,4.68072170169337e-07,0.00144269485354612,0.371716162232024,0.997764501767861,ENSG00000187634,1,protein_coding,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
NOC2L,1.75278154008002,1.98511470966182e-07,0.00144269398439653,0.821633879069542,0.997764501767861,ENSG00000188976,1,protein_coding,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]
KLHL17,0.19651146611718,4.05856645674559e-07,0.00144269499866187,0.508262125423101,0.997764501767861,ENSG00000187961,1,protein_coding,kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]
HES4,1.50603125093333,7.40609660195549e-08,0.00144269412429223,0.915747543056122,0.997764501767861,ENSG00000188290,1,protein_coding,hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]
ISG15,2.9135555379328,-9.18007375448014e-07,0.00144269460903642,0.168224230671403,0.997764501767861,ENSG00000187608,1,protein_coding,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
ISG15,2.9135555379328,-9.18007375448014e-07,0.00144269460903642,0.168224230671403,0.997764501767861,LRG_1231,1,LRG_gene,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
AGRN,0.402138248237073,-3.76853956194888e-07,0.00144269489332619,0.556218786987145,0.997764501767861,ENSG00000188157,1,protein_coding,agrin [Source:HGNC Symbol;Acc:HGNC:329]
AGRN,0.402138248237073,-3.76853956194888e-07,0.00144269489332619,0.556218786987145,0.997764501767861,LRG_198,1,LRG_gene,agrin [Source:HGNC Symbol;Acc:HGNC:329]
